circuit,case,ratio,depth,coverage,pattern_count,runtime_sec,non_scan_ff,scan_ff,coverage_proxy_co,coverage_proxy_combined,pattern_applicability,switching_activity,max_segment_stress,segment_variance,hotspot_count
s27,partial_scan_no_recovery,0.05,0,0.857143,0,5.836e-06,1,2,0.888889,0.857143,0,0.45,0,0,0
s27,partial_scan_no_recovery,0.1,0,0.857143,0,1.02e-06,1,2,0.888889,0.857143,0,0.45,0,0,0
s27,partial_scan_no_recovery,0.15,0,0.857143,0,5.68e-07,1,2,0.888889,0.857143,0,0.45,0,0,0
s27,partial_scan_no_recovery,0.2,0,0.857143,0,4.82e-07,1,2,0.888889,0.857143,0,0.45,0,0,0
s208,partial_scan_no_recovery,0.05,0,0.960526,0,1.5003e-05,1,7,0.970588,0.960526,0,0.275862,0,0,0
s208,partial_scan_no_recovery,0.1,0,0.960526,0,6.414e-06,1,7,0.970588,0.960526,0,0.275862,0,0,0
s208,partial_scan_no_recovery,0.15,0,0.960526,0,4.522e-06,1,7,0.970588,0.960526,0,0.275862,0,0,0
s208,partial_scan_no_recovery,0.2,0,0.894737,0,6.622e-06,2,6,0.911765,0.894737,0,0.258621,0,0,0
s510,partial_scan_no_recovery,0.05,0,0.830769,0,1.9509e-05,1,5,0.830508,0.830769,0,0.496271,0,0,0
s510,partial_scan_no_recovery,0.1,0,0.830769,0,8.047e-06,1,5,0.830508,0.830769,0,0.496271,0,0,0
s510,partial_scan_no_recovery,0.15,0,0.830769,0,5.27e-06,1,5,0.830508,0.830769,0,0.496271,0,0,0
s510,partial_scan_no_recovery,0.2,0,0.830769,0,4.389e-06,1,5,0.830508,0.830769,0,0.496271,0,0,0
s953,partial_scan_no_recovery,0.05,0,0.990476,0,0.00041096,1,28,1,0.990476,0,0.337451,0,0,0
s953,partial_scan_no_recovery,0.1,0,0.942857,0,0.000347555,3,26,0.960526,0.942857,0,0.345855,0,0,0
s953,partial_scan_no_recovery,0.15,0,0.904762,0,0.000423423,4,25,0.921053,0.904762,0,0.341393,0,0,0
s953,partial_scan_no_recovery,0.2,0,0.885714,0,0.000289691,6,23,0.921053,0.885714,0,0.352669,0,0,0
s1196,partial_scan_no_recovery,0.05,0,0.997655,0,0.000559286,1,17,0.998802,0.997655,0,0.474771,0,0,0
s1196,partial_scan_no_recovery,0.1,0,0.996483,0,0.000463051,2,16,0.998802,0.996483,0,0.48525,0,0,0
s1196,partial_scan_no_recovery,0.15,0,0.990621,0,0.000447261,3,15,0.994012,0.990621,0,0.466434,0,0,0
s1196,partial_scan_no_recovery,0.2,0,0.98007,0,0.000398408,4,14,0.984431,0.98007,0,0.472015,0,0,0
s1238,partial_scan_no_recovery,0.05,0,0.997849,0,0.000245845,1,17,0.998904,0.997849,0,0.48085,0,0,0
s1238,partial_scan_no_recovery,0.1,0,0.996774,0,0.000211358,2,16,0.998904,0.996774,0,0.49049,0,0,0
s1238,partial_scan_no_recovery,0.15,0,0.991398,0,0.000211466,3,15,0.994518,0.991398,0,0.470621,0,0,0
s1238,partial_scan_no_recovery,0.2,0,0.98172,0,0.000168785,4,14,0.985746,0.98172,0,0.476108,0,0,0
s5378,partial_scan_no_recovery,0.05,0,0.939696,0,0.0158716,9,170,0.939173,0.939696,0,0.459072,0,0,0
s5378,partial_scan_no_recovery,0.1,0,0.86556,0,0.0133854,18,161,0.863795,0.86556,0,0.461658,0,0,0
s5378,partial_scan_no_recovery,0.15,0,0.814938,0,0.0113865,27,152,0.813155,0.814938,0,0.457313,0,0,0
s5378,partial_scan_no_recovery,0.2,0,0.746058,0,0.0165429,36,143,0.743306,0.746058,0,0.46079,0,0,0
s9234,partial_scan_no_recovery,0.05,0,0.975413,0,0.0551048,11,200,0.9761,0.975413,0,0.510186,0,0,0
s9234,partial_scan_no_recovery,0.1,0,0.930278,0,0.0367625,21,190,0.931022,0.930278,0,0.505735,0,0,0
s9234,partial_scan_no_recovery,0.15,0,0.849937,0,0.0193349,32,179,0.849976,0.849937,0,0.505716,0,0,0
s9234,partial_scan_no_recovery,0.2,0,0.811497,0,0.018102,42,169,0.811761,0.811497,0,0.502771,0,0,0
s15850,partial_scan_no_recovery,0.05,0,0.951697,0,0.128968,27,507,0.951819,0.951697,0,0.473364,0,0,0
s15850,partial_scan_no_recovery,0.1,0,0.838122,0,0.113573,53,481,0.834723,0.838122,0,0.475429,0,0,0
s15850,partial_scan_no_recovery,0.15,0,0.778442,0,0.0970838,80,454,0.774548,0.778442,0,0.47534,0,0,0
s15850,partial_scan_no_recovery,0.2,0,0.732356,0,0.0784309,107,427,0.728705,0.732356,0,0.47488,0,0,0
s35932,partial_scan_no_recovery,0.05,0,0.975682,0,0.181077,86,1642,0.98391,0.975682,0,0.277459,0,0,0
s35932,partial_scan_no_recovery,0.1,0,0.951082,0,0.212228,173,1555,0.967633,0.951082,0,0.281288,0,0,0
s35932,partial_scan_no_recovery,0.15,0,0.926764,0,0.142292,259,1469,0.951543,0.926764,0,0.283767,0,0,0
s35932,partial_scan_no_recovery,0.2,0,0.886328,0,0.111643,346,1382,0.914312,0.886328,0,0.284858,0,0,0
s38417,partial_scan_no_recovery,0.05,0,0.975132,0,0.877317,82,1554,0.97538,0.975132,0,0.475762,0,0,0
s38417,partial_scan_no_recovery,0.1,0,0.932742,0,0.569346,164,1472,0.933066,0.932742,0,0.476525,0,0,0
s38417,partial_scan_no_recovery,0.15,0,0.892396,0,0.470129,245,1391,0.892809,0.892396,0,0.476026,0,0,0
s38417,partial_scan_no_recovery,0.2,0,0.877779,0,0.414919,327,1309,0.878541,0.877779,0,0.475038,0,0,0
s38584,partial_scan_no_recovery,0.05,0,0.897169,0,0.970853,71,1355,0.893805,0.897169,0,0.49647,0,0,0
s38584,partial_scan_no_recovery,0.1,0,0.841927,0,0.547635,143,1283,0.838262,0.841927,0,0.496878,0,0,0
s38584,partial_scan_no_recovery,0.15,0,0.795467,0,0.486913,214,1212,0.792013,0.795467,0,0.495836,0,0,0
s38584,partial_scan_no_recovery,0.2,0,0.746121,0,0.459251,285,1141,0.742696,0.746121,0,0.496446,0,0,0
