ff_instance,min_slack
_2743_,9999.0
_2744_,9999.0
_2745_,9999.0
_2746_,9999.0
_2747_,9999.0
_2748_,9999.0
_2749_,9999.0
_2750_,9999.0
_2751_,9999.0
_2752_,9999.0
_2753_,9999.0
_2754_,9999.0
_2755_,9999.0
_2756_,9999.0
_2757_,9999.0
_2758_,9999.0
_2759_,9999.0
_2760_,9999.0
_2761_,9999.0
_2762_,9999.0
_2763_,9999.0
_2764_,9999.0
_2765_,9999.0
_2766_,9999.0
_2767_,9999.0
_2768_,9999.0
_2769_,9999.0
_2770_,9999.0
_2771_,9999.0
_2772_,9999.0
_2773_,9999.0
_2774_,9999.0
_2775_,9999.0
_2776_,9999.0
_2777_,9999.0
_2778_,9999.0
_2779_,9999.0
_2780_,9999.0
_2781_,9999.0
_2782_,9999.0
_2783_,9999.0
_2784_,9999.0
_2785_,9999.0
_2786_,9999.0
_2787_,9999.0
_2788_,9999.0
_2789_,9999.0
_2790_,9999.0
_2791_,9999.0
_2792_,9999.0
_2793_,9999.0
_2794_,9999.0
_2795_,9999.0
_2796_,9999.0
_2797_,9999.0
_2798_,9999.0
_2799_,9999.0
_2800_,9999.0
_2801_,9999.0
_2802_,9999.0
_2803_,9999.0
_2804_,9999.0
_2805_,9999.0
_2806_,9999.0
_2807_,9999.0
_2808_,9999.0
_2809_,9999.0
_2810_,9999.0
_2811_,9999.0
_2812_,9999.0
_2813_,9999.0
_2814_,9999.0
_2815_,9999.0
_2816_,9999.0
_2817_,9999.0
_2818_,9999.0
_2819_,9999.0
_2820_,9999.0
_2821_,9999.0
_2822_,9999.0
_2823_,9999.0
_2824_,9999.0
_2825_,9999.0
_2826_,9999.0
_2827_,9999.0
