ff_instance,min_slack
DFF_0,9999.0
DFF_1,9999.0
DFF_10,9999.0
DFF_100,9999.0
DFF_101,9999.0
DFF_102,9999.0
DFF_103,9999.0
DFF_104,9999.0
DFF_105,9999.0
DFF_106,9999.0
DFF_107,9999.0
DFF_108,9999.0
DFF_109,9999.0
DFF_11,9999.0
DFF_110,9999.0
DFF_111,9999.0
DFF_112,9999.0
DFF_113,9999.0
DFF_114,9999.0
DFF_115,9999.0
DFF_116,9999.0
DFF_117,9999.0
DFF_118,9999.0
DFF_119,9999.0
DFF_12,9999.0
DFF_120,9999.0
DFF_121,9999.0
DFF_122,9999.0
DFF_123,9999.0
DFF_124,9999.0
DFF_125,9999.0
DFF_126,9999.0
DFF_127,9999.0
DFF_128,9999.0
DFF_129,9999.0
DFF_13,9999.0
DFF_130,9999.0
DFF_131,9999.0
DFF_132,9999.0
DFF_133,9999.0
DFF_134,9999.0
DFF_135,9999.0
DFF_136,9999.0
DFF_137,9999.0
DFF_138,9999.0
DFF_139,9999.0
DFF_14,9999.0
DFF_140,9999.0
DFF_141,9999.0
DFF_142,9999.0
DFF_143,9999.0
DFF_144,9999.0
DFF_145,9999.0
DFF_146,9999.0
DFF_147,9999.0
DFF_148,9999.0
DFF_149,9999.0
DFF_15,9999.0
DFF_150,9999.0
DFF_151,9999.0
DFF_152,9999.0
DFF_153,9999.0
DFF_154,9999.0
DFF_155,9999.0
DFF_156,9999.0
DFF_157,9999.0
DFF_158,9999.0
DFF_159,9999.0
DFF_16,9999.0
DFF_160,9999.0
DFF_161,9999.0
DFF_162,9999.0
DFF_163,9999.0
DFF_164,9999.0
DFF_165,9999.0
DFF_166,9999.0
DFF_167,9999.0
DFF_168,9999.0
DFF_169,9999.0
DFF_17,9999.0
DFF_170,9999.0
DFF_171,9999.0
DFF_172,9999.0
DFF_173,9999.0
DFF_174,9999.0
DFF_175,9999.0
DFF_176,9999.0
DFF_177,9999.0
DFF_178,9999.0
DFF_179,9999.0
DFF_18,9999.0
DFF_180,9999.0
DFF_181,9999.0
DFF_182,9999.0
DFF_183,9999.0
DFF_184,9999.0
DFF_185,9999.0
DFF_186,9999.0
DFF_187,9999.0
DFF_188,9999.0
DFF_189,9999.0
DFF_19,9999.0
DFF_190,9999.0
DFF_191,9999.0
DFF_192,9999.0
DFF_193,9999.0
DFF_194,9999.0
DFF_195,9999.0
DFF_196,9999.0
DFF_197,9999.0
DFF_198,9999.0
DFF_199,9999.0
DFF_2,9999.0
DFF_20,9999.0
DFF_200,9999.0
DFF_201,9999.0
DFF_202,9999.0
DFF_203,9999.0
DFF_204,9999.0
DFF_205,9999.0
DFF_206,9999.0
DFF_207,9999.0
DFF_208,9999.0
DFF_209,9999.0
DFF_21,9999.0
DFF_210,9999.0
DFF_22,9999.0
DFF_23,9999.0
DFF_24,9999.0
DFF_25,9999.0
DFF_26,9999.0
DFF_27,9999.0
DFF_28,9999.0
DFF_29,9999.0
DFF_3,9999.0
DFF_30,9999.0
DFF_31,9999.0
DFF_32,9999.0
DFF_33,9999.0
DFF_34,9999.0
DFF_35,9999.0
DFF_36,9999.0
DFF_37,9999.0
DFF_38,9999.0
DFF_39,9999.0
DFF_4,9999.0
DFF_40,9999.0
DFF_41,9999.0
DFF_42,9999.0
DFF_43,9999.0
DFF_44,9999.0
DFF_45,9999.0
DFF_46,9999.0
DFF_47,9999.0
DFF_48,9999.0
DFF_49,9999.0
DFF_5,9999.0
DFF_50,9999.0
DFF_51,9999.0
DFF_52,9999.0
DFF_53,9999.0
DFF_54,9999.0
DFF_55,9999.0
DFF_56,9999.0
DFF_57,9999.0
DFF_58,9999.0
DFF_59,9999.0
DFF_6,9999.0
DFF_60,9999.0
DFF_61,9999.0
DFF_62,9999.0
DFF_63,9999.0
DFF_64,9999.0
DFF_65,9999.0
DFF_66,9999.0
DFF_67,9999.0
DFF_68,9999.0
DFF_69,9999.0
DFF_7,9999.0
DFF_70,9999.0
DFF_71,9999.0
DFF_72,9999.0
DFF_73,9999.0
DFF_74,9999.0
DFF_75,9999.0
DFF_76,9999.0
DFF_77,9999.0
DFF_78,9999.0
DFF_79,9999.0
DFF_8,9999.0
DFF_80,9999.0
DFF_81,9999.0
DFF_82,9999.0
DFF_83,9999.0
DFF_84,9999.0
DFF_85,9999.0
DFF_86,9999.0
DFF_87,9999.0
DFF_88,9999.0
DFF_89,9999.0
DFF_9,9999.0
DFF_90,9999.0
DFF_91,9999.0
DFF_92,9999.0
DFF_93,9999.0
DFF_94,9999.0
DFF_95,9999.0
DFF_96,9999.0
DFF_97,9999.0
DFF_98,9999.0
DFF_99,9999.0
