circuit,group,fc_raw,test_cov_raw,fu_full,dt,au,ti,ab,wall_s
b03,itc99,91.03,93.3,,,21,2,,0.04
b04,itc99,94.12,95.46,,,40,2,,0.51
b05,itc99,96.26,97.17,,,57,2,,0.79
b07,itc99,93.82,95.48,,,33,2,,0.02
b08,itc99,95.41,95.5,,,1,2,,0.09
b09,itc99,94.43,95.05,,,6,2,,0.02
b11,itc99,97.95,98.22,,,24,2,,367.48
b13,itc99,92.31,92.72,,,9,2,,0.03
s27,iscas,94.55,94.55,,,0,0,,0.03
s208,iscas,97.43,97.43,,,0,0,,0.03
s510,iscas,99.14,99.14,,,0,0,,0.03
s953,iscas,97.85,97.85,,,0,0,,0.04
s1196,iscas,98.84,98.84,,,0,0,,0.11
s1238,iscas,96.45,98.9,,,83,0,,0.20
s5378,iscas,96.04,96.94,,,109,0,,18.40
s9234,iscas,94.17,97.22,,,517,0,,1208.61
s15850,iscas,94.62,96.54,,,625,0,,164.71
s35932,iscas,87.58,96.2,,,8968,2,,116.81
s38584,iscas,93.56,97.2,,,3968,0,,1512.63
tiny_sdffr,tiny,91.67,91.67,,,0,0,,0.06
tiny_sdff,tiny,91.67,91.67,,,0,0,,0.01
b12,itc99,93.09,95.57,,,9486,2,,2825.07
b14,itc99,97.04,97.2,,,22418,2,,3243.62
