circuit,mode,ratio,depth,fault_coverage,test_coverage,DT,AU,AB,UD,total_faults,collapsed_faults,patterns,status
s27,full_scan,0.0,1,94.55,94.55,104,0,0,6,110,90,15,PASS
s27,no_recovery,0.67,1,39.36,94.87,37,55,0,2,94,74,7,PASS_67pct
b03,full_scan,0.0,1,34.37,89.53,530,950,0,60,1550,1200,18,PASS
b04,full_scan,0.0,1,42.25,78.76,1701,2186,0,137,4024,3138,27,PASS
b07,full_scan,0.0,1,42.54,93.01,1198,1528,0,90,2816,2061,282,PASS
b07,no_recovery,0.05,1,36.10,92.31,1008,1700,0,84,2792,2037,237,PASS_drop6.4pp
b07,no_recovery,0.10,1,28.06,90.69,779,1917,0,80,2776,2021,138,PASS_drop14.5pp
b07,no_recovery,0.20,1,25.58,90.70,702,1970,0,72,2744,1989,124,PASS_drop17.0pp
b07,partial_T4,0.20,4,23.18,89.77,632,2022,0,72,2726,1971,206,T4_lt_T1_fault_count_issue
b08,full_scan,0.0,1,41.09,89.47,692,936,0,56,1684,1232,38,PASS
b09,full_scan,0.0,1,34.13,90.28,557,1015,0,60,1632,1172,8,PASS
b13,full_scan,0.0,1,52.29,90.97,1370,1114,6,130,2620,1976,277,PASS
b13,no_recovery,0.05,1,49.54,90.92,1282,1178,6,122,2588,1944,270,PASS_drop2.8pp
b13,no_recovery,0.10,1,47.19,90.84,1210,1232,6,116,2564,1920,252,PASS_drop5.1pp
b13,no_recovery,0.20,1,37.52,89.73,944,1464,4,104,2516,1872,190,PASS_drop14.8pp
b13,partial_T4,0.20,4,34.10,87.80,849,1523,14,104,2490,1846,262,T4_lt_T1_fault_count_issue
b05,full_scan,0.0,1,,,,,,,,,,BLOCKED_assign_syntax
b11,full_scan,0.0,1,,,,,,,,,,TIMEOUT_120s
b12,full_scan,0.0,1,,,,,,,,,,TIMEOUT_120s
b14,full_scan,0.0,1,,,,,,,,,,TIMEOUT_120s
b15,full_scan,0.0,1,,,,,,,,,,UNTESTED
