circuit,ratio,excluded_ff,total_ff,denominator,T1_DT,T1_AU,T1_AB,T1_TO,T1_FC,R1_count,T2_target,T2_new_DT,T2_AU,T2_AB,T2_TO,R2_count,T4_target,T4_new_DT,T4_AU,T4_AB,T4_TO,final_DT,FC_T1,FC_T1_T2,FC_T1_T2_T4,gain_T2_pp,gain_T4_pp,total_gain_pp,T1_rt,T2_rt,T4_rt,total_rt,recovered_per_sec_T2,recovered_per_sec_T4,per_target_timeout_sec,status
b03,0.1,4,30,809,360,393,0,0,44.5,449,449,331,62,0,0,118,118,0,62,0,0,691,44.5,85.41,85.41,40.91,0.0,40.91,0.34,0.23,0.17,0.74,1444.5,0,5.0,PASS
b04,0.1,7,66,2291,1723,440,6,0,75.21,568,568,212,231,3,0,356,356,0,231,3,0,1935,75.21,84.46,84.46,9.25,0.0,9.25,9.31,10.14,13.71,33.17,20.9,0,5.0,PASS
b05,0.1,9,88,4471,1301,3002,8,0,29.1,3170,3170,2617,393,0,0,553,553,0,393,0,0,3918,29.1,87.63,87.63,58.53,0.0,58.53,3.0,6.54,8.22,17.76,400.26,0,5.0,PASS
b07,0.1,5,44,1591,893,616,0,0,56.13,698,698,506,110,0,0,192,192,0,110,0,0,1399,56.13,87.93,87.93,31.8,0.0,31.8,0.2,0.16,0.14,0.5,3178.38,0,5.0,PASS
b08,0.1,7,67,2234,1630,480,0,0,72.96,604,604,405,75,0,0,199,199,0,75,0,0,2035,72.96,91.09,91.09,18.13,0.0,18.13,0.3,0.39,0.17,0.86,1045.37,0,5.0,PASS
b09,0.1,3,29,930,710,164,0,0,76.34,220,220,107,57,0,0,113,113,0,57,0,0,817,76.34,87.85,87.85,11.51,0.0,11.51,0.11,0.16,0.14,0.41,649.72,0,5.0,PASS
b11,0.1,9,84,6843,4531,2152,6,0,66.21,2312,2312,1923,228,3,4,389,389,0,228,3,4,6454,66.21,94.32,94.32,28.1,0.0,28.1,0.93,33.48,33.7,68.11,57.43,0,5.0,PASS
b13,0.1,9,86,2007,1552,291,0,0,77.33,455,455,94,197,0,0,361,361,0,197,0,0,1646,77.33,82.01,82.01,4.68,0.0,4.68,0.11,0.09,0.14,0.34,1016.9,0,5.0,PASS
s953,0.1,3,29,1853,681,1120,0,0,36.75,1172,1172,1010,110,0,0,162,162,0,110,0,0,1691,36.75,91.26,91.26,54.51,0.0,54.51,0.17,0.35,0.11,0.63,2897.69,0,5.0,PASS
s1196,0.1,2,18,2184,1881,271,0,0,86.13,303,303,268,3,0,0,35,35,0,3,0,0,2149,86.13,98.4,98.4,12.27,0.0,12.27,0.24,0.15,0.13,0.52,1814.13,0,5.0,PASS
s1238,0.1,2,18,2235,1842,361,0,0,82.42,393,393,284,77,0,0,109,109,0,77,0,0,2126,82.42,95.12,95.12,12.71,0.0,12.71,0.21,0.14,0.13,0.47,2032.7,0,5.0,PASS
s5378,0.1,18,179,10113,7508,2280,2,1,74.24,2605,2605,2093,187,3,0,512,512,0,187,3,0,9601,74.24,94.94,94.94,20.7,0.0,20.7,8.87,2.95,3.07,14.89,710.2,0,5.0,PASS
s9234,0.1,22,211,18098,13191,4509,12,8,72.89,4907,4907,2768,1729,20,12,2139,2139,0,1729,20,12,15959,72.89,88.18,88.18,15.29,0.0,15.29,46.76,94.95,97.29,239.0,29.15,0,5.0,PASS
s15850,0.1,54,534,33265,21997,10307,0,1,66.13,11268,11268,7991,2314,1,2,3277,3277,0,2314,1,2,29988,66.13,90.15,90.15,24.02,0.0,24.02,26.1,37.21,17.42,80.72,214.75,0,5.0,PASS
s35932,0.1,173,1728,77978,68302,6188,32,0,87.59,9676,9676,39,6149,28,4,9637,9637,0,6149,0,32,68341,87.59,87.64,87.64,0.05,0.0,0.05,54.36,147.08,200.87,402.31,0.27,0,5.0,PASS
s38584,0.1,143,1426,81247,75221,3175,1,0,92.58,6026,6026,62,3113,0,1,5964,5964,0,3113,0,1,75283,92.58,92.66,92.66,0.08,0.0,0.08,111.33,17.49,35.72,164.54,3.54,0,5.0,PASS
s38417,0.1,164,1636,82810,78850,666,20,4,95.22,3960,3960,390,284,4,12,3570,3570,0,284,0,16,79240,95.22,95.69,95.69,0.47,0.0,0.47,92.28,92.82,83.82,268.92,4.2,0,5.0,PASS
