circuit,ratio,excluded_ff,total_ff,denominator,T1_DT,T1_AU,T1_AB,T1_TO,T1_FC,R1_count,T2_target,T2_new_DT,T2_AU,T2_AB,T2_TO,R2_count,T4_target,T4_new_DT,T4_AU,T4_AB,T4_TO,final_DT,FC_T1,FC_T1_T2,FC_T1_T2_T4,gain_T2_pp,gain_T4_pp,total_gain_pp,T1_rt,T2_rt,T4_rt,total_rt,recovered_per_sec_T2,recovered_per_sec_T4,per_target_timeout_sec,status
b03,0.05,2,30,841,753,24,0,0,89.54,88,88,0,24,0,0,88,88,0,24,0,0,753,89.54,89.54,89.54,0.0,0.0,0.0,0.06,0.07,0.07,0.21,0,0,0.0,PASS
b03,0.1,4,30,841,753,24,0,0,89.54,88,88,0,24,0,0,88,88,0,24,0,0,753,89.54,89.54,89.54,0.0,0.0,0.0,0.06,0.06,0.06,0.18,0,0,0.0,PASS
b03,0.15,5,30,841,753,24,0,0,89.54,88,88,0,24,0,0,88,88,0,24,0,0,753,89.54,89.54,89.54,0.0,0.0,0.0,0.06,0.06,0.06,0.19,0,0,0.0,PASS
b03,0.2,7,30,833,736,35,0,0,88.36,97,97,18,17,0,0,79,79,0,17,0,0,754,88.36,90.52,90.52,2.16,0.0,2.16,0.06,0.06,0.06,0.18,289.2,0,0.0,PASS
b04,0.05,4,66,2347,2056,154,1,0,87.6,291,291,0,154,1,0,291,291,0,154,1,0,2056,87.6,87.6,87.6,0.0,0.0,0.0,0.06,0.07,0.06,0.2,0,0,0.0,PASS
b04,0.1,7,66,2347,2056,154,1,0,87.6,291,291,0,154,1,0,291,291,0,154,1,0,2056,87.6,87.6,87.6,0.0,0.0,0.0,0.07,0.06,0.06,0.19,0,0,0.0,PASS
b04,0.15,11,66,2347,2056,154,1,0,87.6,291,291,0,154,1,0,291,291,0,154,1,0,2056,87.6,87.6,87.6,0.0,0.0,0.0,0.07,0.06,0.06,0.19,0,0,0.0,PASS
b04,0.2,14,66,2347,2056,154,1,0,87.6,291,291,0,154,1,0,291,291,0,154,1,0,2056,87.6,87.6,87.6,0.0,0.0,0.0,0.08,0.06,0.07,0.21,0,0,0.0,PASS
b05,0.05,5,88,4562,4234,150,0,0,92.81,328,328,0,150,0,0,328,328,0,150,0,0,4234,92.81,92.81,92.81,0.0,0.0,0.0,0.07,0.07,0.08,0.21,0,0,0.0,PASS
b05,0.1,9,88,4562,4234,150,0,0,92.81,328,328,0,150,0,0,328,328,0,150,0,0,4234,92.81,92.81,92.81,0.0,0.0,0.0,0.07,0.07,0.07,0.21,0,0,0.0,PASS
b05,0.15,14,88,4562,4234,150,0,0,92.81,328,328,0,150,0,0,328,328,0,150,0,0,4234,92.81,92.81,92.81,0.0,0.0,0.0,0.07,0.07,0.08,0.21,0,0,0.0,PASS
b05,0.2,18,88,4562,4234,150,0,0,92.81,328,328,0,150,0,0,328,328,0,150,0,0,4234,92.81,92.81,92.81,0.0,0.0,0.0,0.07,0.07,0.06,0.2,0,0,0.0,PASS
b07,0.05,3,44,1631,1525,14,0,0,93.5,106,106,0,14,0,0,106,106,0,14,0,0,1525,93.5,93.5,93.5,0.0,0.0,0.0,0.07,0.06,0.06,0.19,0,0,0.0,PASS
b07,0.1,5,44,1631,1525,14,0,0,93.5,106,106,0,14,0,0,106,106,0,14,0,0,1525,93.5,93.5,93.5,0.0,0.0,0.0,0.06,0.06,0.06,0.18,0,0,0.0,PASS
b07,0.15,7,44,1631,1525,14,0,0,93.5,106,106,0,14,0,0,106,106,0,14,0,0,1525,93.5,93.5,93.5,0.0,0.0,0.0,0.07,0.06,0.06,0.18,0,0,0.0,PASS
b08,0.05,4,67,2290,2124,28,0,0,92.75,166,166,0,28,0,0,166,166,0,28,0,0,2124,92.75,92.75,92.75,0.0,0.0,0.0,0.07,0.07,0.09,0.23,0,0,0.0,PASS
b08,0.1,7,67,2290,2124,28,0,0,92.75,166,166,0,28,0,0,166,166,0,28,0,0,2124,92.75,92.75,92.75,0.0,0.0,0.0,0.1,0.09,0.11,0.3,0,0,0.0,PASS
b08,0.15,11,67,2290,2124,28,0,0,92.75,166,166,0,28,0,0,166,166,0,28,0,0,2124,92.75,92.75,92.75,0.0,0.0,0.0,0.09,0.1,0.1,0.29,0,0,0.0,PASS
b08,0.2,14,67,2290,2124,28,0,0,92.75,166,166,0,28,0,0,166,166,0,28,0,0,2124,92.75,92.75,92.75,0.0,0.0,0.0,0.1,0.07,0.06,0.23,0,0,0.0,PASS
b09,0.05,2,29,954,836,56,0,0,87.63,118,118,0,56,0,0,118,118,0,56,0,0,836,87.63,87.63,87.63,0.0,0.0,0.0,0.06,0.06,0.06,0.18,0,0,0.0,PASS
b09,0.1,3,29,954,836,56,0,0,87.63,118,118,0,56,0,0,118,118,0,56,0,0,836,87.63,87.63,87.63,0.0,0.0,0.0,0.07,0.06,0.06,0.19,0,0,0.0,PASS
b09,0.15,5,29,954,836,56,0,0,87.63,118,118,0,56,0,0,118,118,0,56,0,0,836,87.63,87.63,87.63,0.0,0.0,0.0,0.07,0.07,0.06,0.19,0,0,0.0,PASS
b09,0.2,6,29,954,836,56,0,0,87.63,118,118,0,56,0,0,118,118,0,56,0,0,836,87.63,87.63,87.63,0.0,0.0,0.0,0.07,0.07,0.07,0.21,0,0,0.0,PASS
b11,0.05,5,84,6909,6670,47,20,0,96.54,239,239,0,47,20,0,239,239,0,47,20,0,6670,96.54,96.54,96.54,0.0,0.0,0.0,0.06,0.07,0.07,0.2,0,0,0.0,PASS
