circuit,ratio,excluded_ff,total_ff,denominator,T1_DT,T1_AU,T1_AB,T1_TO,T1_FC,R1_count,T2_target,T2_new_DT,T2_AU,T2_AB,T2_TO,R2_count,T4_target,T4_new_DT,T4_AU,T4_AB,T4_TO,final_DT,FC_T1,FC_T1_T2,FC_T1_T2_T4,gain_T2_pp,gain_T4_pp,total_gain_pp,T1_rt,T2_rt,T4_rt,total_rt,recovered_per_sec_T2,recovered_per_sec_T4,per_target_timeout_sec,status
b03,0.1,4,30,809,360,393,0,0,44.5,449,449,331,62,0,0,118,118,0,62,0,0,691,44.5,85.41,85.41,40.91,0.0,40.91,0.03,0.27,0.04,0.34,1230.27,0,5.0,PASS
s953,0.1,3,29,1853,681,1120,0,0,36.75,1172,1172,1010,110,0,0,162,162,0,110,0,0,1691,36.75,91.26,91.26,54.51,0.0,54.51,0.05,0.17,0.06,0.27,5987.39,0,5.0,PASS
s1196,0.1,2,18,2184,1881,271,0,0,86.13,303,303,268,3,0,0,35,35,0,3,0,0,2149,86.13,98.4,98.4,12.27,0.0,12.27,0.04,0.04,0.02,0.09,7227.33,0,5.0,PASS
s1238,0.1,2,18,2235,1842,361,0,0,82.42,393,393,284,77,0,0,109,109,0,77,0,0,2126,82.42,95.12,95.12,12.71,0.0,12.71,0.05,0.04,0.02,0.11,7104.16,0,5.0,PASS
s5378,0.1,18,179,10113,7509,2280,2,0,74.25,2604,2604,2092,187,3,0,512,512,0,187,3,0,9601,74.25,94.94,94.94,20.69,0.0,20.69,4.13,0.67,0.77,5.57,3135.66,0,5.0,PASS
b04,0.1,7,66,2291,1723,440,6,0,75.21,568,568,212,229,5,0,356,356,0,229,5,0,1935,75.21,84.46,84.46,9.25,0.0,9.25,5.97,3.42,5.35,14.74,61.92,0,5.0,PASS
b05,0.1,9,88,4490,1311,3011,8,0,29.2,3179,3179,2626,393,0,0,553,553,0,393,0,0,3937,29.2,87.68,87.68,58.49,0.0,58.49,0.89,2.64,3.83,7.36,993.75,0,5.0,PASS
b07,0.1,5,44,1591,893,616,0,0,56.13,698,698,506,110,0,0,192,192,0,110,0,0,1399,56.13,87.93,87.93,31.8,0.0,31.8,0.02,0.03,0.02,0.07,16216.74,0,5.0,PASS
b08,0.1,7,67,2234,1630,480,0,0,72.96,604,604,405,75,0,0,199,199,0,75,0,0,2035,72.96,91.09,91.09,18.13,0.0,18.13,0.17,0.17,0.02,0.36,2362.15,0,5.0,PASS
b09,0.1,3,29,930,710,164,0,0,76.34,220,220,107,57,0,0,113,113,0,57,0,0,817,76.34,87.85,87.85,11.51,0.0,11.51,0.02,0.02,0.03,0.07,5306.42,0,5.0,PASS
b11,0.1,9,84,6843,4531,2152,6,0,66.21,2312,2312,1925,216,15,2,387,387,0,216,15,2,6456,66.21,94.34,94.34,28.13,0.0,28.13,0.52,13.21,15.15,28.88,145.78,0,5.0,PASS
b13,0.1,9,86,2007,1552,291,0,0,77.33,455,455,94,197,0,0,361,361,0,197,0,0,1646,77.33,82.01,82.01,4.68,0.0,4.68,0.03,0.04,0.02,0.08,2479.92,0,5.0,PASS
s9234,0.1,22,211,18021,13117,4506,14,6,72.79,4904,4904,2765,1729,32,0,2139,2139,0,1729,30,2,15882,72.79,88.13,88.13,15.34,0.0,15.34,40.47,12.27,15.7,68.44,225.37,0,5.0,PASS
s15850,0.1,54,534,33189,21917,10311,0,1,66.04,11272,11272,7995,2314,3,0,3277,3277,0,2314,3,0,29912,66.04,90.13,90.13,24.09,0.0,24.09,14.33,13.38,4.64,32.35,597.72,0,5.0,PASS
s35932,0.1,173,1728,76602,59058,14404,26,2,77.1,17544,17544,5129,9271,32,0,12415,12415,0,9271,32,0,64187,77.1,83.79,83.79,6.7,0.0,6.7,45.34,44.91,44.38,134.63,114.21,0,5.0,PASS
s38417,0.1,164,1636,81506,69612,8739,17,194,85.41,11894,11894,4638,4291,17,4,7256,7256,0,4291,15,6,74250,85.41,91.1,91.1,5.69,0.0,5.69,1020.82,65.76,74.22,1160.8,70.53,0,5.0,PASS
s38584,0.1,143,1426,80111,57418,20127,0,0,71.67,22693,22693,12410,7716,1,0,10283,10283,0,7716,1,0,69828,71.67,87.16,87.16,15.49,0.0,15.49,55.35,49.34,18.11,122.81,251.51,0,5.0,PASS
b03,0.1,4,30,809,360,393,0,0,44.5,449,449,331,62,0,0,118,118,0,62,0,0,691,44.5,85.41,85.41,40.91,0.0,40.91,0.04,0.16,0.11,0.31,2006.9,0,5.0,PASS
b03,0.05,2,30,825,590,175,0,0,71.52,235,235,154,21,0,0,81,81,0,21,0,0,744,71.52,90.18,90.18,18.67,0.0,18.67,0.22,0.47,0.67,1.35,330.91,0,5.0,PASS
b03,0.15,5,30,801,340,407,0,0,42.45,461,461,330,77,0,0,131,131,0,77,0,0,670,42.45,83.65,83.65,41.2,0.0,41.2,0.96,0.13,0.11,1.2,2578.21,0,5.0,PASS
b03,0.2,7,30,785,302,433,0,0,38.47,483,483,336,97,0,0,147,147,0,97,0,0,638,38.47,81.27,81.27,42.8,0.0,42.8,0.25,0.42,0.14,0.81,798.12,0,5.0,PASS
b03,0.3,10,30,761,257,460,0,0,33.77,504,504,282,178,0,0,222,222,0,178,0,0,539,33.77,70.83,70.83,37.06,0.0,37.06,0.22,0.05,0.04,0.31,5229.27,0,5.0,PASS
b03,0.4,13,30,737,239,460,0,0,32.43,498,498,262,198,0,0,236,236,0,198,0,0,501,32.43,67.98,67.98,35.55,0.0,35.55,0.17,0.08,0.05,0.29,3458.28,0,5.0,PASS
b03,0.5,16,30,713,221,460,0,0,31.0,492,492,186,274,0,0,306,306,0,274,0,0,407,31.0,57.08,57.08,26.09,0.0,26.09,0.23,0.12,0.09,0.44,1556.33,0,5.0,PASS
b05,0.1,9,88,4490,1311,3011,8,0,29.2,3179,3179,2626,393,0,0,553,553,0,393,0,0,3937,29.2,87.68,87.68,58.49,0.0,58.49,1.34,3.71,6.87,11.93,707.48,0,5.0,PASS
b05,0.2,18,88,4402,1160,3092,8,0,26.35,3242,3242,2562,538,0,0,680,680,0,538,0,0,3722,26.35,84.55,84.55,58.2,0.0,58.2,2.22,5.4,6.25,13.88,474.03,0,5.0,PASS
b05,0.05,5,88,4522,1526,2820,8,0,33.75,2996,2996,2527,301,0,0,469,469,0,301,0,0,4053,33.75,89.63,89.63,55.88,0.0,55.88,2.05,4.95,5.62,12.62,510.71,0,5.0,PASS
b05,0.15,14,88,4450,1224,3068,8,0,27.51,3226,3226,2617,459,0,0,609,609,0,459,0,0,3841,27.51,86.31,86.31,58.81,0.0,58.81,1.64,5.05,5.93,12.62,518.65,0,5.0,PASS
b05,0.3,27,88,4346,1020,3194,8,0,23.47,3326,3326,2501,701,0,0,825,825,0,701,0,0,3521,23.47,81.02,81.02,57.55,0.0,57.55,1.85,5.14,6.32,13.31,486.3,0,5.0,PASS
b05,0.4,36,88,4274,792,3376,0,0,18.53,3482,3482,2363,980,33,0,1119,1119,0,980,33,0,3155,18.53,73.82,73.82,55.29,0.0,55.29,0.3,5.9,6.59,12.8,400.56,0,5.0,PASS
b05,0.5,44,88,4194,738,3366,0,0,17.6,3456,3456,1887,1316,162,1,1569,1569,0,1316,162,1,2625,17.6,62.59,62.59,44.99,0.0,44.99,0.49,17.34,18.31,36.14,108.81,0,5.0,PASS
b03,0.6,19,30,689,203,460,0,0,29.46,486,486,144,316,0,0,342,342,0,316,0,0,347,29.46,50.36,50.36,20.9,0.0,20.9,0.17,0.14,0.17,0.48,993.79,0,5.0,PASS
b03,0.7,22,30,665,185,460,0,0,27.82,480,480,81,379,0,0,399,399,0,379,0,0,266,27.82,40.0,40.0,12.18,0.0,12.18,0.23,0.17,0.06,0.46,488.69,0,5.0,PASS
b03,0.8,25,30,641,116,511,0,0,18.1,525,525,37,474,0,0,488,488,0,474,0,0,153,18.1,23.87,23.87,5.77,0.0,5.77,0.05,0.1,0.06,0.2,371.99,0,5.0,PASS
b03,0.9,28,30,617,49,560,0,0,7.94,568,568,24,536,0,0,544,544,0,536,0,0,73,7.94,11.83,11.83,3.89,0.0,3.89,0.14,0.07,0.05,0.26,350.42,0,5.0,PASS
b03,1.0,31,30,593,19,572,0,0,3.2,574,574,0,0,0,0,574,574,0,0,0,0,19,3.2,3.2,3.2,0.0,0.0,0.0,0.15,0.07,0.06,0.29,0,0,5.0,PARTIAL
b05,0.6,53,88,4138,690,3376,0,0,16.67,3448,3448,1715,1499,162,0,1733,1733,0,1499,162,0,2405,16.67,58.12,58.12,41.45,0.0,41.45,0.24,13.49,15.02,28.75,127.14,0,5.0,PASS
b05,0.7,62,88,4066,636,3376,0,0,15.64,3430,3430,1532,1682,162,0,1898,1898,0,1682,162,0,2168,15.64,53.32,53.32,37.68,0.0,37.68,0.15,12.25,13.94,26.33,125.07,0,5.0,PASS
b05,0.8,71,88,3994,582,3376,0,0,14.57,3412,3412,1312,1912,152,0,2100,2100,0,1912,152,0,1894,14.57,47.42,47.42,32.85,0.0,32.85,0.11,12.02,15.13,27.26,109.16,0,5.0,PASS
s953,0.1,3,29,1853,681,1120,0,0,36.75,1172,1172,1010,110,0,0,162,162,0,110,0,0,1691,36.75,91.26,91.26,54.51,0.0,54.51,0.16,0.27,0.1,0.52,3797.38,0,5.0,PASS
s953,0.2,6,29,1829,650,1133,0,0,35.54,1179,1179,971,162,0,0,208,208,0,162,0,0,1621,35.54,88.63,88.63,53.09,0.0,53.09,0.09,0.18,0.09,0.36,5413.03,0,5.0,PASS
s953,0.5,15,29,1757,441,1288,0,0,25.1,1316,1316,833,455,0,0,483,483,0,455,0,0,1274,25.1,72.51,72.51,47.41,0.0,47.41,0.08,0.3,0.1,0.49,2758.51,0,5.0,PASS
s5378,0.1,18,179,10113,7509,2280,2,0,74.25,2604,2604,2092,187,3,0,512,512,0,187,3,0,9601,74.25,94.94,94.94,20.69,0.0,20.69,5.67,1.27,1.01,7.94,1646.98,0,5.0,PASS
