ff_index,ff_name,timing_score,is_non_scan
0,U_g2814,0,0
1,U_g2817,3,0
2,U_g2933,2,0
3,U_g2950,2,0
4,U_g2883,7,0
5,U_g2888,8,0
6,U_g2896,9,0
7,U_g2892,10,0
8,U_g2903,11,0
9,U_g2900,12,0
10,U_g2908,13,0
11,U_g2912,9,0
12,U_g2917,10,0
13,U_g2924,11,0
14,U_g2920,12,0
15,U_g2984,12,0
16,U_g2985,12,0
17,U_g2930,0,0
18,U_g2929,0,0
19,U_g2879,3,0
20,U_g2934,0,0
21,U_g2935,0,0
22,U_g2938,0,0
23,U_g2941,0,0
24,U_g2944,0,0
25,U_g2947,0,0
26,U_g2953,0,0
27,U_g2956,0,0
28,U_g2959,0,0
29,U_g2962,0,0
30,U_g2963,0,0
31,U_g2966,0,0
32,U_g2969,0,0
33,U_g2972,0,0
34,U_g2975,0,0
35,U_g2978,0,0
36,U_g2981,0,0
37,U_g2874,0,0
38,U_g1506,6,0
39,U_g1501,6,0
40,U_g1496,6,0
41,U_g1491,6,0
42,U_g1486,6,0
43,U_g1481,6,0
44,U_g1476,6,0
45,U_g1471,6,0
46,U_g2877,14,0
47,U_g2861,7,0
48,U_g813,0,0
49,U_g2864,7,0
50,U_g809,0,0
51,U_g2867,7,0
52,U_g805,0,0
53,U_g2870,6,0
54,U_g801,0,0
55,U_g2818,6,0
56,U_g797,0,0
57,U_g2821,5,0
58,U_g793,0,0
59,U_g2824,6,0
60,U_g789,0,0
61,U_g2827,4,0
62,U_g785,0,0
63,U_g2830,14,0
64,U_g2873,0,0
65,U_g2833,6,0
66,U_g125,0,0
67,U_g2836,6,0
68,U_g121,0,0
69,U_g2839,6,0
70,U_g117,0,0
71,U_g2842,6,0
72,U_g113,0,0
73,U_g2845,7,0
74,U_g109,0,0
75,U_g2848,7,0
76,U_g105,0,0
77,U_g2851,7,0
78,U_g101,0,0
79,U_g2854,7,0
80,U_g97,0,0
81,U_g2858,14,0
82,U_g2857,0,0
83,U_g2200,8,0
84,U_g2195,8,0
85,U_g2190,8,0
86,U_g2185,8,0
87,U_g2180,8,0
88,U_g2175,8,0
89,U_g2170,8,0
90,U_g2165,8,0
91,U_g2878,14,0
92,U_g3129,2,0
93,U_g3117,0,0
94,U_g3109,0,0
95,U_g3210,6,0
96,U_g3211,6,0
97,U_g3084,6,0
98,U_g3085,4,0
99,U_g3086,4,0
100,U_g3087,4,0
101,U_g3091,6,0
102,U_g3092,6,0
103,U_g3093,6,0
104,U_g3094,4,0
105,U_g3095,3,0
106,U_g3096,3,0
107,U_g3097,12,0
108,U_g3098,12,0
109,U_g3099,12,0
110,U_g3100,16,0
111,U_g3101,16,0
112,U_g3102,16,0
113,U_g3103,20,0
114,U_g3104,20,0
115,U_g3105,20,0
116,U_g3106,24,0
117,U_g3107,24,0
118,U_g3108,24,0
119,U_g3155,6,0
120,U_g3158,5,0
121,U_g3161,6,0
122,U_g3164,4,0
123,U_g3167,4,0
124,U_g3170,4,0
125,U_g3173,5,0
126,U_g3176,5,0
127,U_g3179,5,0
128,U_g3182,4,0
129,U_g3185,4,0
130,U_g3088,4,0
131,U_g3191,8,0
132,U_g3194,10,0
133,U_g3197,10,0
134,U_g3198,10,0
135,U_g3201,12,0
136,U_g3204,12,0
137,U_g3207,12,0
138,U_g3188,11,0
139,U_g3133,12,0
140,U_g3132,12,0
141,U_g3128,13,0
142,U_g3127,12,0
143,U_g3126,10,0
144,U_g3125,11,0
145,U_g3124,10,0
146,U_g3123,9,0
147,U_g3120,12,0
148,U_g3114,12,0
149,U_g3113,12,0
150,U_g3112,10,0
151,U_g3110,10,0
152,U_g3111,10,0
153,U_g3139,11,0
154,U_g3136,12,0
155,U_g3134,12,0
156,U_g3135,12,0
157,U_g3151,11,0
158,U_g3142,12,0
159,U_g3147,12,0
160,U_g185,12,0
161,U_g138,1,0
162,U_g135,0,0
163,U_g165,0,0
164,U_g130,6,0
165,U_g131,6,0
166,U_g129,6,0
167,U_g133,7,0
168,U_g134,6,0
169,U_g132,6,0
170,U_g142,7,0
171,U_g143,7,0
172,U_g141,7,0
173,U_g145,7,0
174,U_g146,6,0
175,U_g144,7,0
176,U_g148,9,0
177,U_g149,8,0
178,U_g147,9,0
179,U_g151,8,0
180,U_g152,7,0
181,U_g150,8,0
182,U_g154,8,0
183,U_g155,8,0
184,U_g153,8,0
185,U_g157,8,0
186,U_g158,7,0
187,U_g156,8,0
188,U_g160,10,0
189,U_g161,9,0
190,U_g159,13,0
191,U_g163,10,0
192,U_g164,9,0
193,U_g162,13,0
194,U_g169,9,0
195,U_g170,9,0
196,U_g168,9,0
197,U_g172,9,0
198,U_g173,13,0
199,U_g171,9,0
200,U_g175,13,0
201,U_g176,13,0
202,U_g174,9,0
203,U_g178,13,0
204,U_g179,13,0
205,U_g177,13,0
206,U_g186,33,0
207,U_g189,33,0
208,U_g192,33,0
209,U_g231,34,0
210,U_g234,34,0
211,U_g237,34,0
212,U_g195,35,0
213,U_g198,35,0
214,U_g201,35,0
215,U_g240,35,0
216,U_g243,35,0
217,U_g246,35,0
218,U_g204,33,0
219,U_g207,33,0
220,U_g210,33,0
221,U_g249,33,0
222,U_g252,33,0
223,U_g255,33,0
224,U_g213,33,0
225,U_g216,33,0
226,U_g219,33,0
227,U_g258,33,0
228,U_g261,33,0
229,U_g264,33,0
230,U_g222,34,0
231,U_g225,34,0
232,U_g228,34,0
233,U_g267,34,0
234,U_g270,34,0
235,U_g273,34,0
236,U_g92,10,0
237,U_g88,11,0
238,U_g83,12,0
239,U_g79,13,0
240,U_g74,14,0
241,U_g70,15,0
242,U_g65,16,0
243,U_g61,17,0
244,U_g56,18,0
245,U_g52,19,0
246,U_g180,9,0
247,U_g182,0,0
248,U_g181,0,0
249,U_g276,1,0
250,U_g405,1,0
251,U_g401,0,0
252,U_g309,0,0
253,U_g354,19,0
254,U_g343,17,0
255,U_g346,19,0
256,U_g369,17,0
257,U_g358,19,0
258,U_g361,17,0
259,U_g384,19,0
260,U_g373,19,0
261,U_g376,19,0
262,U_g398,19,0
263,U_g388,19,0
264,U_g391,19,0
265,U_g408,25,0
266,U_g411,25,0
