circuit,ratio,excluded_ff,total_ff,denominator,T1_DT,T1_AU,T1_AB,T1_TO,T1_FC,R1_count,T2_target,T2_new_DT,T2_AU,T2_AB,T2_TO,R2_count,T4_target,T4_new_DT,T4_AU,T4_AB,T4_TO,final_DT,FC_T1,FC_T1_T2,FC_T1_T2_T4,gain_T2_pp,gain_T4_pp,total_gain_pp,T1_rt,T2_rt,T4_rt,total_rt,recovered_per_sec_T2,recovered_per_sec_T4,per_target_timeout_sec,status
b03,0.1,4,30,809,360,393,0,0,44.5,449,449,0,393,0,0,449,449,0,393,0,0,360,44.5,44.5,44.5,0.0,0.0,0.0,0.06,0.06,0.05,0.17,0,0,0.0,PASS
b04,0.1,7,66,2291,1723,440,6,0,75.21,568,568,112,332,2,0,456,456,122,210,2,0,1957,75.21,80.1,85.42,4.89,5.33,10.21,7.07,8.71,9.8,25.58,12.86,12.44,0.0,PASS
b05,0.1,9,88,4471,1301,3002,8,0,29.1,3170,3170,7,3003,0,0,3163,3163,746,2257,0,0,2054,29.1,29.26,45.94,0.16,16.69,16.84,1.92,2.24,4.36,8.52,3.12,171.1,0.0,PASS
b07,0.1,5,44,1591,893,616,0,0,56.13,698,698,0,616,0,0,698,698,24,592,0,0,917,56.13,56.13,57.64,0.0,1.51,1.51,0.19,0.17,0.1,0.46,0,229.92,0.0,PASS
b08,0.1,7,67,2234,1630,480,0,0,72.96,604,604,334,146,0,0,270,270,91,55,0,0,2055,72.96,87.91,91.99,14.95,4.07,19.02,0.29,0.38,0.17,0.84,870.31,536.29,0.0,PASS
b09,0.1,3,29,930,710,164,0,0,76.34,220,220,95,69,0,0,125,125,0,69,0,0,805,76.34,86.56,86.56,10.22,0.0,10.22,0.14,0.17,0.56,0.87,558.42,0,0.0,PASS
b13,0.1,9,86,2007,1552,291,0,0,77.33,455,455,76,215,0,0,379,379,0,0,0,0,1628,77.33,81.12,81.12,3.79,0.0,3.79,0.14,1.0,402.92,404.06,75.9,0,0.0,PARTIAL
s953,0.1,3,29,1853,681,1120,0,0,36.75,1172,1172,12,1108,0,0,1160,1160,0,1108,0,0,693,36.75,37.4,37.4,0.65,0.0,0.65,0.1,0.14,0.27,0.51,84.1,0,0.0,PASS
s1196,0.1,2,18,2184,1881,271,0,0,86.13,303,303,268,3,0,0,35,35,0,3,0,0,2149,86.13,98.4,98.4,12.27,0.0,12.27,0.28,0.17,0.27,0.72,1583.6,0,0.0,PASS
s1238,0.1,2,18,2235,1842,361,0,0,82.42,393,393,284,77,0,0,109,109,0,73,4,0,2126,82.42,95.12,95.12,12.71,0.0,12.71,0.21,0.33,2.45,3.0,850.26,0,0.0,PASS
s5378,0.1,18,179,10113,7509,2280,2,0,74.25,2604,2604,1532,747,3,0,1072,1072,249,498,3,0,9290,74.25,89.4,91.86,15.15,2.46,17.61,10.09,2.66,3.78,16.54,574.97,65.79,0.0,PASS
s15850,0.1,54,534,33265,21997,10308,0,0,66.13,11268,11268,1651,8656,1,0,9617,9617,0,0,0,0,23648,66.13,71.09,71.09,4.96,0.0,4.96,40.71,116.25,568.95,725.9,14.2,0,0.0,PARTIAL
b11,0.1,9,84,6840,4528,2152,6,0,66.2,2312,2312,816,1334,8,0,1496,1496,1163,172,7,0,6507,66.2,78.13,95.13,11.93,17.0,28.93,1.0,48.92,28.45,78.37,16.68,40.87,0.0,PASS
