circuit,ratio,excluded_ff,total_ff,denominator,T1_DT,T1_AU,T1_AB,T1_TO,T1_FC,R1_count,T2_target,T2_new_DT,T2_AU,T2_AB,T2_TO,R2_count,T4_target,T4_new_DT,T4_AU,T4_AB,T4_TO,final_DT,FC_T1,FC_T1_T2,FC_T1_T2_T4,gain_T2_pp,gain_T4_pp,total_gain_pp,T1_rt,T2_rt,T4_rt,total_rt,recovered_per_sec_T2,recovered_per_sec_T4,T1_mem_mb,T2_mem_mb,T4_mem_mb,peak_mem_mb,per_target_timeout_sec,status
b03,0.1,4,30,809,360,393,0,0,44.5,449,449,331,62,0,0,118,118,0,62,0,0,691,44.5,85.41,85.41,40.91,0.0,40.91,0.01,0.02,0.02,0.05,15227.26,0,10.49,10.66,10.96,10.96,0.0,PASS
b04,0.1,7,66,2291,1723,440,6,0,75.21,568,568,212,231,3,0,356,356,0,231,3,0,1935,75.21,84.46,84.46,9.25,0.0,9.25,7.25,6.39,9.09,22.72,33.19,0,12.39,12.73,13.69,13.69,0.0,PASS
b05,0.1,9,88,4665,4209,266,12,0,90.23,456,456,0,278,0,0,456,456,0,278,0,0,4209,90.23,90.23,90.23,0.0,0.0,0.0,2.83,4.55,6.26,13.64,0,0,14.95,15.5,17.48,17.48,0.0,PASS
b07,0.1,5,44,1591,893,616,0,0,56.13,698,698,506,110,0,0,192,192,0,110,0,0,1399,56.13,87.93,87.93,31.8,0.0,31.8,0.02,0.02,0.01,0.05,21862.66,0,11.46,11.75,12.34,12.34,0.0,PASS
b08,0.1,7,27,957,862,37,0,0,90.07,95,95,0,37,0,0,95,95,0,37,0,0,862,90.07,90.07,90.07,0.0,0.0,0.0,0.01,0.01,0.01,0.03,0,0,10.74,10.9,11.3,11.3,0.0,PASS
b09,0.1,3,29,930,710,164,0,0,76.34,220,220,107,57,0,0,113,113,0,57,0,0,817,76.34,87.85,87.85,11.51,0.0,11.51,0.01,0.02,0.03,0.06,5073.2,0,10.73,10.9,11.3,11.3,0.0,PASS
s953,0.1,3,29,1853,681,1120,0,0,36.75,1172,1172,1010,110,0,0,162,162,0,110,0,0,1691,36.75,91.26,91.26,54.51,0.0,54.51,0.03,0.08,0.01,0.12,13412.0,0,11.96,12.65,13.04,13.04,0.0,PASS
s1196,0.1,2,18,2184,1881,271,0,0,86.13,303,303,268,3,0,0,35,35,0,3,0,0,2149,86.13,98.4,98.4,12.27,0.0,12.27,0.05,0.03,0.01,0.09,9265.82,0,12.43,12.9,13.92,13.92,0.0,PASS
s1238,0.1,2,18,2235,1842,361,0,0,82.42,393,393,284,77,0,0,109,109,0,77,0,0,2126,82.42,95.12,95.12,12.71,0.0,12.71,0.06,0.04,0.03,0.13,6625.34,0,12.46,12.76,13.82,13.82,0.0,PASS
s5378,0.1,18,179,10169,7546,2299,2,0,74.21,2623,2623,2111,187,3,0,512,512,0,187,3,0,9657,74.21,94.97,94.97,20.76,0.0,20.76,5.67,1.87,1.74,9.28,1129.78,0,24.96,28.87,31.25,31.25,0.0,PASS
