circuit,ratio,excluded_ff,total_ff,denominator,T1_DT,T1_AU,T1_AB,T1_TO,T1_FC,R1_count,T2_target,T2_new_DT,T2_AU,T2_AB,T2_TO,R2_count,T4_target,T4_new_DT,T4_AU,T4_AB,T4_TO,final_DT,FC_T1,FC_T1_T2,FC_T1_T2_T4,gain_T2_pp,gain_T4_pp,total_gain_pp,T1_rt,T2_rt,T4_rt,total_rt,recovered_per_sec_T2,recovered_per_sec_T4,T1_mem_mb,T2_mem_mb,T4_mem_mb,peak_mem_mb,per_target_timeout_sec,status
b03,0.1,4,30,809,337,416,0,0,41.66,472,472,0,416,0,0,472,472,0,416,0,0,337,41.66,41.66,41.66,0.0,0.0,0.0,0.01,0.01,0.01,0.04,0,0,10.49,10.66,10.97,10.97,0.0,PASS
b04,0.1,7,66,2291,1859,310,0,0,81.14,432,432,135,175,0,0,297,297,58,117,0,0,2052,81.14,87.04,89.57,5.89,2.53,8.42,1.38,1.97,2.78,6.13,68.46,20.88,12.26,12.59,13.7,13.7,0.0,PASS
b05,0.1,9,88,4665,4225,259,3,0,90.57,440,440,0,262,0,0,440,440,0,262,0,0,4225,90.57,90.57,90.57,0.0,0.0,0.0,2.72,3.61,5.26,11.59,0,0,14.95,15.49,17.48,17.48,0.0,PASS
b07,0.1,5,44,1591,892,617,0,0,56.07,699,699,0,617,0,0,699,699,24,593,0,0,916,56.07,56.07,57.57,0.0,1.51,1.51,0.02,0.02,0.02,0.06,0,1033.61,11.46,11.62,12.36,12.36,0.0,PASS
b08,0.1,7,27,957,862,37,0,0,90.07,95,95,0,37,0,0,95,95,0,37,0,0,862,90.07,90.07,90.07,0.0,0.0,0.0,0.01,0.01,0.01,0.03,0,0,10.74,10.9,11.3,11.3,0.0,PASS
b09,0.1,3,29,930,710,164,0,0,76.34,220,220,95,69,0,0,125,125,0,69,0,0,805,76.34,86.56,86.56,10.22,0.0,10.22,0.01,0.07,0.1,0.19,1360.05,0,10.73,10.9,11.3,11.3,0.0,PASS
s953,0.1,3,29,1853,696,1105,0,0,37.56,1157,1157,7,1098,0,0,1150,1150,0,1098,0,0,703,37.56,37.94,37.94,0.38,0.0,0.38,0.03,0.06,0.11,0.2,119.29,0,11.96,12.28,13.27,13.27,0.0,PASS
s1196,0.1,2,18,2184,1863,289,0,0,85.3,321,321,286,3,0,0,35,35,0,3,0,0,2149,85.3,98.4,98.4,13.1,0.0,13.1,0.06,0.02,0.01,0.1,13400.18,0,12.43,12.77,13.92,13.92,0.0,PASS
s1238,0.1,2,18,2235,1833,370,0,0,82.01,402,402,293,77,0,0,109,109,0,75,2,0,2126,82.01,95.12,95.12,13.11,0.0,13.11,0.08,0.15,0.27,0.49,1975.98,0,12.46,12.76,13.82,13.82,0.0,PASS
s5378,0.1,18,179,10169,7554,2293,0,0,74.28,2615,2615,1545,748,0,0,1070,1070,244,504,0,0,9343,74.28,89.48,91.88,15.19,2.4,17.59,9.5,22.46,34.41,66.37,68.8,7.09,24.83,26.13,31.43,31.43,0.0,PASS
