circuit,condition,FC_pct,AB,TO,runtime_s
b03,baseline,41.59,0,0,0.002829
b03,enhanced_only,38.86,0,0,0.002113
b03,backjump_only,41.59,0,0,0.002209
b03,dominator_only,41.59,0,0,0.00239
b03,all_on,38.86,0,0,0.002299
b04,baseline,72.02,12,0,10.15
b04,enhanced_only,78.80,0,0,2.242
b04,backjump_only,72.02,12,0,11.4
b04,dominator_only,72.02,12,0,9.761
b04,all_on,78.80,0,0,1.991
b05,baseline,26.65,12,0,2.114
b05,enhanced_only,26.88,27,0,3.185
b05,backjump_only,26.57,12,0,1.917
b05,dominator_only,26.65,12,0,1.759
b05,all_on,26.83,27,0,1.693
b07,baseline,51.36,0,0,0.01139
b07,enhanced_only,51.31,0,0,0.01297
b07,backjump_only,51.36,0,0,0.0124
b07,dominator_only,51.36,0,0,0.012
b07,all_on,51.31,0,0,0.01079
b08,baseline,72.19,0,0,0.1746
b08,enhanced_only,71.68,0,0,0.2374
b08,backjump_only,71.08,0,0,0.2274
b08,dominator_only,72.19,0,0,0.3108
b08,all_on,71.04,0,0,0.2544
b09,baseline,75.59,0,0,0.003957
b09,enhanced_only,75.59,0,0,0.004645
b09,backjump_only,75.59,0,0,0.01042
b09,dominator_only,75.59,0,0,0.005954
b09,all_on,75.59,0,0,0.005666
b11,baseline,62.37,7,0,1.179
b11,enhanced_only,62.37,7,0,0.7998
b11,backjump_only,62.37,7,0,0.8276
b11,dominator_only,62.37,7,0,0.9104
b11,all_on,62.37,7,0,2.267
b13,baseline,75.54,0,0,0.01179
b13,enhanced_only,75.54,0,0,0.01199
b13,backjump_only,75.54,0,0,0.01923
b13,dominator_only,75.54,0,0,0.01318
b13,all_on,75.54,0,0,0.01725
s953,baseline,34.26,0,0,0.02858
s953,enhanced_only,34.26,0,0,0.02844
s953,backjump_only,34.26,0,0,0.02977
s953,dominator_only,34.26,0,0,0.03195
s953,all_on,34.26,0,0,0.03314
s1196,baseline,86.18,0,0,0.07543
s1196,enhanced_only,86.18,0,0,0.06441
s1196,backjump_only,86.18,0,0,0.05635
s1196,dominator_only,86.18,0,0,0.05365
s1196,all_on,86.18,0,0,0.07118
s1238,baseline,83.23,0,0,0.1048
s1238,enhanced_only,83.23,0,0,0.08925
s1238,backjump_only,83.23,0,0,0.08842
s1238,dominator_only,83.23,0,0,0.09395
s1238,all_on,83.23,0,0,0.08969
s5378,baseline,73.82,2,0,10.53
s5378,enhanced_only,73.82,2,0,11.01
s5378,backjump_only,73.82,2,0,12.75
s5378,dominator_only,73.82,2,0,8.154
s5378,all_on,73.82,2,0,9.126
s9234,baseline,73.29,30,0,137.0
s9234,enhanced_only,73.29,30,0,145.7
s9234,backjump_only,73.29,30,0,117.1
s9234,dominator_only,73.29,30,0,106.2
s9234,all_on,73.29,30,0,101.3
s15850,baseline,66.19,0,0,40.51
s15850,enhanced_only,66.19,0,0,42.53
s15850,backjump_only,66.19,0,0,39.52
s15850,dominator_only,66.19,0,0,44.46
s15850,all_on,66.19,0,0,44.58
s35932,baseline,,,1,600.0
s35932,enhanced_only,76.83,56,0,37.13
s35932,backjump_only,,,1,600.0
