circuit,r2_count,fs_DT,fs_AU,fs_AB,fs_UD,fs_TO,partial_scan_blocked_pct,circuit_structural_pct,elapsed_s,status
b03,118,59,36,0,54,0,50.0,30.51,0.05,PASS
b04,356,84,294,0,120,0,23.6,82.58,2.8,PASS
b05,553,306,322,0,158,0,55.33,58.23,1.42,PASS
b07,192,64,122,0,80,0,33.33,63.54,0.06,PASS
b08,199,56,37,0,122,0,28.14,18.59,0.03,PASS
b09,113,31,61,0,54,0,27.43,53.98,0.04,PASS
b11,387,166,141,0,152,0,42.89,36.43,98.46,PASS
b13,361,195,98,0,162,0,54.02,27.15,0.05,PASS
s953,162,155,2,0,52,0,95.68,1.23,0.02,PASS
s1196,35,1,2,0,32,0,2.86,5.71,0.04,PASS
s1238,109,1,87,0,32,0,0.92,79.82,0.04,PASS
s5378,512,113,186,2,322,0,22.07,36.33,3.53,PASS
s9234,2139,,,,,,,,600,TIMEOUT
s15850,3277,2754,1081,6,960,0,84.04,32.99,18.24,PASS
s35932,12415,4611,9498,64,3110,0,37.14,76.5,382.95,PASS
s38417,7256,,,,,,,,600,TIMEOUT
s38584,10283,7144,4979,2,2566,0,69.47,48.42,17.23,PASS
