circuit,ff_count,total_faults,DT,AU,UD,FC_fullscan_pct,elapsed_s,status
s27,3,112,104,2,6,92.86,0.0,PASS
s510,6,1404,1390,2,12,99.00,0.0,PASS
s953,29,2712,2652,2,58,97.79,0.0,PASS
s1196,18,3358,3320,2,36,98.87,0.3,PASS
s1238,18,3380,3257,87,36,96.36,0.1,PASS
s5378,179,16308,15762,184,358,96.65,1.0,PASS
s9234,211,29828,27766,1573,422,93.09,7.6,PASS
s15850,534,53706,51577,1055,1068,96.04,5.2,PASS
s35932,1728,110122,97128,9474,3456,88.20,32.3,PASS
s38417,1636,128324,124600,424,3272,97.10,68.0,PASS
s38584,1426,121824,113999,4971,2852,93.58,88.7,PASS
