circuit,nonscan_ratio,fault_coverage,test_coverage,DT,AU,AB,UD,patterns,runtime_s,status
s27,0.0,94.55,94.55,104,0,0,6,7,5e-05,PASS
b03,0.0,34.37,89.53,530,950,0,60,18,0.08,PASS
b04,0.0,42.25,78.76,1701,2186,0,137,27,0.45,PASS
b07,0.0,43.82,93.2,1234,1492,0,90,48,0.24,PASS
b08,0.0,41.09,89.47,692,936,0,56,38,0.15,PASS
b09,0.0,34.13,92.37,557,1015,0,60,8,0.03,PASS
b13,0.0,54.73,91.34,1434,1050,6,130,55,0.6,PASS
b11,0.0,,,,,,,,TIMEOUT_120s
b12,0.0,,,,,,,,TIMEOUT_120s
b14,0.0,,,,,,,,TIMEOUT_120s
b05,0.0,,,,,,,,CRASH_assign_syntax
b15,0.0,,,,,,,,UNTESTED
