circuit,group,fc_scan,fc_scan_coll,test_cov_scan,fu_collapsed,dt,au,ti_scan,ud,patterns,runtime_s,wall_s
b03,itc99,91.23,91.62,93.5,849,863,21,2,62,7,0.00274,0.05
b04,itc99,94.18,93.46,95.53,2355,2818,40,2,134,19,1.664,1.71
b05,itc99,96.1,95.34,97.13,4570,6031,65,2,176,35,0.8443,0.90
b07,itc99,93.92,93.46,95.57,1639,1899,33,2,90,12,0.00892,0.05
b08,itc99,95.47,94.03,95.56,2298,2887,1,2,136,22,0.1496,0.19
b09,itc99,94.58,93.44,95.21,962,1152,6,2,60,18,0.01264,0.05
b11,itc99,98.05,97.43,98.24,6923,9370,16,2,170,49,0.8882,0.95
b13,itc99,92.39,91.13,92.8,2087,2293,9,2,180,8,0.004392,0.14
b14,itc99,97.06,96.25,97.22,17388,22420,37,2,628,76,1721,1721.32
s27,iscas,94.55,93.33,94.55,90,104,0,0,6,5,0.000596,0.13
s208,iscas,97.43,96.34,97.43,437,606,0,0,16,26,0.01095,0.04
s510,iscas,99.14,98.73,99.14,946,1390,0,0,12,67,0.01092,0.03
s953,iscas,97.85,96.91,97.85,1877,2644,0,0,58,91,0.02797,0.05
s1196,iscas,98.84,98.27,98.84,2080,3068,0,0,36,165,0.1004,0.12
s1238,iscas,96.45,95.14,98.9,2245,3235,83,0,36,183,0.4103,0.44
s5378,iscas,96.04,94.74,96.94,8077,11354,109,0,358,150,32.1,32.14
s9234,iscas,94.17,92.91,97.11,11493,15515,499,0,422,158,642.5,642.77
s15850,iscas,94.62,93.32,96.54,22524,29763,625,0,1068,130,184.9,185.01
s35932,iscas,87.58,87.17,96.21,72890,87592,8968,2,3456,42,115.3,115.82
s38584,iscas,93.56,92.6,97.2,73185,99022,3968,0,2852,141,609,609.31
tiny_sdffr,tiny,91.67,91.67,91.67,24,22,0,0,2,0,6.3e-05,0.08
tiny_sdff,tiny,91.67,91.67,91.67,24,22,0,0,2,0,4e-05,0.02
