circuit,ratio,excluded_ff,total_ff,denominator,T1_DT,T1_AU,T1_AB,T1_TO,T1_FC,R1_count,T2_target,T2_new_DT,T2_AU,T2_AB,T2_TO,R2_count,T4_target,T4_new_DT,T4_AU,T4_AB,T4_TO,final_DT,FC_T1,FC_T1_T2,FC_T1_T2_T4,gain_T2_pp,gain_T4_pp,total_gain_pp,T1_rt,T2_rt,T4_rt,total_rt,recovered_per_sec_T2,recovered_per_sec_T4,per_target_timeout_sec,status
b03,0.05,2,30,841,753,24,0,0,89.54,88,88,0,24,0,0,88,88,0,24,0,0,753,89.54,89.54,89.54,0.0,0.0,0.0,0.06,0.05,0.09,0.19,0,0,0.0,PASS
b03,0.1,4,30,841,753,24,0,0,89.54,88,88,0,24,0,0,88,88,0,24,0,0,753,89.54,89.54,89.54,0.0,0.0,0.0,0.1,0.05,0.05,0.2,0,0,0.0,PASS
b03,0.15,5,30,841,753,24,0,0,89.54,88,88,0,24,0,0,88,88,0,24,0,0,753,89.54,89.54,89.54,0.0,0.0,0.0,0.06,0.06,0.16,0.28,0,0,0.0,PASS
b03,0.2,7,30,833,736,35,0,0,88.36,97,97,18,17,0,0,79,79,0,17,0,0,754,88.36,90.52,90.52,2.16,0.0,2.16,0.06,0.15,0.09,0.29,124.0,0,0.0,PASS
b04,0.05,4,66,2347,2056,154,1,0,87.6,291,291,0,154,1,0,291,291,0,154,1,0,2056,87.6,87.6,87.6,0.0,0.0,0.0,4.01,2.25,3.01,9.26,0,0,0.0,PASS
b04,0.1,7,66,2347,2056,154,1,0,87.6,291,291,0,154,1,0,291,291,0,154,1,0,2056,87.6,87.6,87.6,0.0,0.0,0.0,4.06,2.06,3.26,9.38,0,0,0.0,PASS
b04,0.15,11,66,2347,2056,154,1,0,87.6,291,291,0,154,1,0,291,291,0,154,1,0,2056,87.6,87.6,87.6,0.0,0.0,0.0,4.68,2.01,3.16,9.85,0,0,0.0,PASS
b04,0.2,14,66,2347,2056,154,1,0,87.6,291,291,0,154,1,0,291,291,0,154,1,0,2056,87.6,87.6,87.6,0.0,0.0,0.0,3.31,1.82,3.03,8.16,0,0,0.0,PASS
b05,0.05,5,88,4542,4214,150,0,0,92.78,328,328,0,150,0,0,328,328,0,150,0,0,4214,92.78,92.78,92.78,0.0,0.0,0.0,1.09,0.61,0.9,2.6,0,0,0.0,PASS
b05,0.1,9,88,4562,4234,150,0,0,92.81,328,328,0,150,0,0,328,328,0,150,0,0,4234,92.81,92.81,92.81,0.0,0.0,0.0,0.76,0.6,0.88,2.23,0,0,0.0,PASS
b05,0.15,14,88,4562,4234,150,0,0,92.81,328,328,0,150,0,0,328,328,0,150,0,0,4234,92.81,92.81,92.81,0.0,0.0,0.0,0.72,0.6,0.89,2.2,0,0,0.0,PASS
b05,0.2,18,88,4542,4214,150,0,0,92.78,328,328,0,150,0,0,328,328,0,150,0,0,4214,92.78,92.78,92.78,0.0,0.0,0.0,0.8,0.59,0.88,2.27,0,0,0.0,PASS
b07,0.05,3,45,1890,1067,737,0,0,56.46,823,823,119,618,0,0,704,704,5,613,0,0,1191,56.46,62.75,63.02,6.3,0.26,6.56,0.08,0.14,0.12,0.34,845.53,40.42,0.0,PASS
b07,0.1,5,45,1874,802,990,0,0,42.8,1072,1072,205,785,0,0,867,867,6,779,0,0,1013,42.8,53.74,54.06,10.94,0.32,11.26,0.07,0.21,0.26,0.53,998.63,23.26,0.0,PASS
