circuit,ratio,excluded_ff,total_ff,denominator,T1_DT,T1_AU,T1_AB,T1_TO,T1_FC,R1_count,T2_target,T2_new_DT,T2_AU,T2_AB,T2_TO,R2_count,T4_target,T4_new_DT,T4_AU,T4_AB,T4_TO,final_DT,FC_T1,FC_T1_T2,FC_T1_T2_T4,gain_T2_pp,gain_T4_pp,total_gain_pp,T1_rt,T2_rt,T4_rt,total_rt,recovered_per_sec_T2,recovered_per_sec_T4,T1_mem_mb,T2_mem_mb,T4_mem_mb,peak_mem_mb,per_target_timeout_sec,status
b03,0.2,7,30,785,302,433,0,0,38.47,483,483,0,433,0,0,483,483,0,433,0,0,302,38.47,38.47,38.47,0.0,0.0,0.0,0.01,0.01,0.01,0.03,0,0,10.49,10.66,10.97,10.97,0.0,PASS
b04,0.2,14,66,2235,562,1565,0,0,25.15,1673,1673,0,1565,0,0,1673,1673,0,1565,0,0,562,25.15,25.15,25.15,0.0,0.0,0.0,0.32,0.4,1.82,2.54,0,0,12.39,12.75,13.76,13.76,0.0,PASS
b05,0.2,18,88,4665,4209,266,12,0,90.23,456,456,0,278,0,0,456,456,0,278,0,0,4209,90.23,90.23,90.23,0.0,0.0,0.0,2.16,3.65,4.78,10.59,0,0,14.95,15.49,17.48,17.48,0.0,PASS
b07,0.2,9,44,1559,615,870,0,0,39.45,944,944,0,870,0,0,944,944,0,870,0,0,615,39.45,39.45,39.45,0.0,0.0,0.0,0.01,0.01,0.02,0.05,0,0,11.46,11.76,12.49,12.49,0.0,PASS
b08,0.2,14,27,957,862,37,0,0,90.07,95,95,0,37,0,0,95,95,0,37,0,0,862,90.07,90.07,90.07,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0,0,10.74,10.9,11.3,11.3,0.0,PASS
b09,0.2,6,29,906,654,202,0,0,72.19,252,252,8,194,0,0,244,244,101,93,0,0,763,72.19,73.07,84.22,0.88,11.15,12.03,0.01,0.03,1.99,2.03,233.86,50.87,10.73,10.9,11.3,11.3,0.0,PASS
s953,0.2,6,29,1829,650,1133,0,0,35.54,1179,1179,11,1122,0,0,1168,1168,0,1122,0,0,661,35.54,36.14,36.14,0.6,0.0,0.6,0.02,0.04,0.05,0.11,296.96,0,11.96,12.28,13.28,13.28,0.0,PASS
s1196,0.2,4,18,2168,1824,316,0,0,84.13,344,344,263,53,0,0,81,81,0,53,0,0,2087,84.13,96.26,96.26,12.13,0.0,12.13,0.04,0.02,0.01,0.07,15356.05,0,12.43,12.77,13.92,13.92,0.0,PASS
s1238,0.2,4,18,2219,1786,405,0,0,80.49,433,433,278,127,0,0,155,155,0,123,4,0,2064,80.49,93.01,93.01,12.53,0.0,12.53,0.05,0.13,0.97,1.15,2061.9,0,12.46,12.77,13.82,13.82,0.0,PASS
s5378,0.2,36,179,10025,6467,3270,2,0,64.51,3558,3558,1374,1895,3,0,2184,2184,717,1135,46,0,8558,64.51,78.21,85.37,13.71,7.15,20.86,1.45,1.8,163.05,166.3,763.02,4.4,24.7,26.27,31.72,31.72,0.0,PASS
