circuit,ratio,excluded_ff,total_ff,denominator,T1_DT,T1_AU,T1_AB,T1_TO,T1_FC,R1_count,T2_target,T2_new_DT,T2_AU,T2_AB,T2_TO,R2_count,T4_target,T4_new_DT,T4_AU,T4_AB,T4_TO,final_DT,FC_T1,FC_T1_T2,FC_T1_T2_T4,gain_T2_pp,gain_T4_pp,total_gain_pp,T1_rt,T2_rt,T4_rt,total_rt,recovered_per_sec_T2,recovered_per_sec_T4,T1_mem_mb,T2_mem_mb,T4_mem_mb,peak_mem_mb,per_target_timeout_sec,status
b03,0.2,7,30,785,302,433,0,0,38.47,483,483,336,97,0,0,147,147,0,97,0,0,638,38.47,81.27,81.27,42.8,0.0,42.8,0.01,0.02,0.01,0.04,21655.67,0,10.49,10.66,10.96,10.96,0.0,PASS
b04,0.2,14,66,2235,562,1565,0,0,25.15,1673,1673,1297,268,0,0,376,376,0,268,0,0,1859,25.15,83.18,83.18,58.03,0.0,58.03,0.34,5.73,3.08,9.15,226.38,0,12.39,13.12,13.7,13.7,0.0,PASS
b05,0.2,18,88,4665,4209,266,12,0,90.23,456,456,0,278,0,0,456,456,0,278,0,0,4209,90.23,90.23,90.23,0.0,0.0,0.0,1.81,3.74,5.76,11.31,0,0,14.95,15.49,17.48,17.48,0.0,PASS
b07,0.2,9,44,1559,615,870,0,0,39.45,944,944,684,186,0,0,260,260,0,186,0,0,1299,39.45,83.32,83.32,43.87,0.0,43.87,0.01,0.03,0.01,0.05,25755.26,0,11.46,11.89,12.38,12.38,0.0,PASS
b08,0.2,14,27,957,862,37,0,0,90.07,95,95,0,37,0,0,95,95,0,37,0,0,862,90.07,90.07,90.07,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0,0,10.74,10.9,11.3,11.3,0.0,PASS
b09,0.2,6,29,906,654,202,0,0,72.19,252,252,127,75,0,0,125,125,0,75,0,0,781,72.19,86.2,86.2,14.02,0.0,14.02,0.01,0.02,0.02,0.04,7490.25,0,10.73,10.9,11.3,11.3,0.0,PASS
s953,0.2,6,29,1829,650,1133,0,0,35.54,1179,1179,971,162,0,0,208,208,0,162,0,0,1621,35.54,88.63,88.63,53.09,0.0,53.09,0.02,0.06,0.01,0.09,15683.96,0,11.96,12.65,13.04,13.04,0.0,PASS
s1196,0.2,4,18,2168,1824,316,0,0,84.13,344,344,263,53,0,0,81,81,0,53,0,0,2087,84.13,96.26,96.26,12.13,0.0,12.13,0.04,0.02,0.01,0.07,11405.81,0,12.43,12.9,13.93,13.93,0.0,PASS
s1238,0.2,4,18,2219,1786,405,0,0,80.49,433,433,278,127,0,0,155,155,0,127,0,0,2064,80.49,93.01,93.01,12.53,0.0,12.53,0.05,0.04,0.02,0.11,7938.46,0,12.46,12.77,13.82,13.82,0.0,PASS
s5378,0.2,36,179,10025,6467,3270,2,0,64.51,3558,3558,2929,340,3,0,629,629,0,340,3,0,9396,64.51,93.73,93.73,29.22,0.0,29.22,1.41,1.44,1.32,4.17,2028.9,0,24.7,29.48,31.27,31.27,0.0,PASS
