circuit,ratio,excluded_ff,total_ff,denominator,T1_DT,T1_AU,T1_AB,T1_TO,T1_FC,R1_count,T2_target,T2_new_DT,T2_AU,T2_AB,T2_TO,R2_count,T4_target,T4_new_DT,T4_AU,T4_AB,T4_TO,final_DT,FC_T1,FC_T1_T2,FC_T1_T2_T4,gain_T2_pp,gain_T4_pp,total_gain_pp,T1_rt,T2_rt,T4_rt,total_rt,recovered_per_sec_T2,recovered_per_sec_T4,T1_mem_mb,T2_mem_mb,T4_mem_mb,peak_mem_mb,per_target_timeout_sec,status
b03,0.05,2,30,825,587,178,0,0,71.15,238,238,153,25,0,0,85,85,0,25,0,0,740,71.15,89.7,89.7,18.55,0.0,18.55,0.01,0.01,0.01,0.03,18030.64,0,10.49,10.66,10.96,10.96,0.0,PASS
b04,0.05,4,66,2315,1983,204,0,0,85.66,332,332,95,109,0,0,237,237,13,96,0,0,2091,85.66,89.76,90.32,4.1,0.56,4.67,1.09,1.43,1.98,4.49,66.61,6.58,12.38,12.59,13.57,13.57,0.0,PASS
b05,0.05,5,88,4665,4225,259,3,0,90.57,440,440,0,262,0,0,440,440,0,262,0,0,4225,90.57,90.57,90.57,0.0,0.0,0.0,2.1,2.86,3.73,8.7,0,0,14.95,15.49,17.47,17.47,0.0,PASS
b07,0.05,3,44,1607,1405,116,0,0,87.43,202,202,4,112,0,0,198,198,85,27,0,0,1494,87.43,87.68,92.97,0.25,5.29,5.54,0.01,0.01,0.02,0.04,366.9,5495.09,11.46,11.61,12.34,12.34,0.0,PASS
b08,0.05,4,27,957,862,37,0,0,90.07,95,95,0,37,0,0,95,95,0,37,0,0,862,90.07,90.07,90.07,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0,0,10.74,10.9,11.3,11.3,0.0,PASS
b09,0.05,2,29,938,723,157,0,0,77.08,215,215,90,67,0,0,125,125,0,67,0,0,813,77.08,86.67,86.67,9.59,0.0,9.59,0.01,0.05,0.08,0.14,1700.72,0,10.73,10.9,11.3,11.3,0.0,PASS
s953,0.05,2,29,1861,705,1102,0,0,37.88,1156,1156,7,1095,0,0,1149,1149,0,1095,0,0,712,37.88,38.26,38.26,0.38,0.0,0.38,0.02,0.04,0.11,0.16,190.07,0,11.96,12.28,13.27,13.27,0.0,PASS
s1196,0.05,1,18,2192,2156,2,0,0,98.36,36,36,0,2,0,0,36,36,0,2,0,0,2156,98.36,98.36,98.36,0.0,0.0,0.0,0.04,0.01,0.01,0.05,0,0,12.55,12.76,13.79,13.79,0.0,PASS
s1238,0.05,1,18,2243,2133,76,0,0,95.1,110,110,0,76,0,0,110,110,0,76,0,0,2133,95.1,95.1,95.1,0.0,0.0,0.0,0.05,0.02,0.02,0.09,0,0,12.46,12.75,13.82,13.82,0.0,PASS
s5378,0.05,9,179,10241,8215,1686,0,0,80.22,2026,2026,1519,167,0,0,507,507,0,167,0,0,9734,80.22,95.05,95.05,14.83,0.0,14.83,8.94,17.05,27.09,53.09,89.09,0,24.96,26.04,31.22,31.22,0.0,PASS
