circuit,ff_count_scan_5,ff_count_scan_20,coverage_combined_5,coverage_combined_20,coverage_drop_abs,coverage_drop_pct_of_5,activity_5,activity_20,activity_delta
s1196,17,14,0.997655,0.980070,0.017585,1.7626,0.474771,0.472015,-0.002756
s1238,17,14,0.997849,0.981720,0.016129,1.6164,0.480850,0.476108,-0.004742
s15850,507,427,0.951697,0.732356,0.219341,23.0474,0.473364,0.474880,0.001516
s208,7,6,0.960526,0.894737,0.065789,6.8493,0.275862,0.258621,-0.017241
s27,2,2,0.857143,0.857143,0.000000,0.0000,0.450000,0.450000,0.000000
s35932,1642,1382,0.975682,0.886328,0.089354,9.1581,0.277459,0.284858,0.007399
s38417,1554,1309,0.975132,0.877779,0.097353,9.9836,0.475762,0.475038,-0.000724
s38584,1355,1141,0.897169,0.746121,0.151048,16.8361,0.496470,0.496446,-0.000024
s510,5,5,0.830769,0.830769,0.000000,0.0000,0.496271,0.496271,0.000000
s5378,170,143,0.939696,0.746058,0.193638,20.6065,0.459072,0.460790,0.001718
s9234,200,169,0.975413,0.811497,0.163916,16.8048,0.510186,0.502771,-0.007415
s953,28,23,0.990476,0.885714,0.104762,10.5769,0.337451,0.352669,0.015218
