ff_index,ff_name,timing_score,is_non_scan
0,U_g1289,3,0
1,U_g1882,18,0
2,U_g312,0,0
3,U_g452,35,0
4,U_g123,12,0
5,U_g207,14,0
6,U_g713,20,0
7,U_g1153,8,0
8,U_g1209,32,0
9,U_g1744,6,0
10,U_g1558,16,0
11,U_g695,20,0
12,U_g461,41,0
13,U_g940,15,0
14,U_g976,36,0
15,U_g709,16,0
16,U_g1092,11,0
17,U_g1574,17,0
18,U_g1864,7,0
19,U_g369,36,0
20,U_g1580,18,0
21,U_g1736,8,0
22,U_g39,24,0
23,U_g1651,27,0
24,U_g1424,13,0
25,U_g1737,0,0
26,U_g1672,28,0
27,U_g1077,10,0
28,U_g1231,9,0
29,U_g4,12,0
30,U_g774,7,0
31,U_g1104,7,0
32,U_g1304,9,0
33,U_g243,15,0
34,U_g1499,15,0
35,U_g1044,3,0
36,U_g1444,15,0
37,U_g757,32,0
38,U_g786,10,0
39,U_g1543,15,0
40,U_g552,29,0
41,U_g315,0,0
42,U_g1534,16,0
43,U_g622,18,0
44,U_g1927,19,0
45,U_g1660,30,0
46,U_g278,21,0
47,U_g1436,15,0
48,U_g718,16,0
49,U_g76,6,0
50,U_g554,31,0
51,U_g496,42,0
52,U_g981,36,0
53,U_g878,3,0
54,U_g590,0,0
55,U_g829,0,0
56,U_g1095,12,0
57,U_g704,20,0
58,U_g1265,8,0
59,U_g1786,10,0
60,U_g682,15,0
61,U_g1296,10,0
62,U_g587,0,0
63,U_g52,4,0
64,U_g646,8,0
65,U_g327,0,0
66,U_g1389,15,0
67,U_g1371,12,0
68,U_g1956,0,0
69,U_g1675,31,0
70,U_g354,43,0
71,U_g113,11,0
72,U_g639,10,0
73,U_g1684,30,0
74,U_g1639,10,0
75,U_g1791,11,0
76,U_g248,15,0
77,U_g1707,2,0
78,U_g1759,6,0
79,U_g351,43,0
80,U_g1957,0,0
81,U_g1604,18,0
82,U_g1098,11,0
83,U_g932,15,0
84,U_g126,12,0
85,U_g1896,13,0
86,U_g736,16,0
87,U_g1019,14,0
88,U_g1362,14,0
89,U_g745,0,0
90,U_g1419,13,0
91,U_g58,6,0
92,U_g32,38,0
93,U_g876,0,0
94,U_g1086,10,0
95,U_g1486,16,0
96,U_g1730,26,0
97,U_g1504,12,0
98,U_g1470,16,0
99,U_g822,10,0
100,U_g583,0,0
101,U_g1678,29,0
102,U_g174,15,0
103,U_g1766,9,0
104,U_g1801,13,0
105,U_g186,14,0
106,U_g959,39,0
107,U_g1169,13,0
108,U_g1007,14,0
109,U_g1407,15,0
110,U_g1059,5,0
111,U_g1868,9,0
112,U_g758,7,0
113,U_g1718,9,0
114,U_g396,39,0
115,U_g1015,14,0
116,U_g38,25,0
117,U_g632,5,0
118,U_g1415,13,0
119,U_g1227,9,0
120,U_g1721,25,0
121,U_g882,0,0
122,U_g16,3,0
123,U_g284,17,0
124,U_g426,37,0
125,U_g219,13,0
126,U_g1216,0,0
127,U_g806,6,0
128,U_g1428,15,0
129,U_g579,0,0
130,U_g1564,15,0
131,U_g1741,5,0
132,U_g225,12,0
133,U_g281,21,0
134,U_g1308,41,0
135,U_g611,22,0
136,U_g631,5,0
137,U_g1217,12,0
138,U_g1589,18,0
139,U_g1466,12,0
140,U_g1571,17,0
141,U_g1861,7,0
142,U_g1365,13,0
143,U_g1448,36,0
144,U_g1711,12,0
145,U_g1133,7,0
146,U_g1333,41,0
147,U_g153,14,0
148,U_g962,39,0
149,U_g766,7,0
150,U_g588,0,0
151,U_g486,42,0
152,U_g471,41,0
153,U_g1397,15,0
154,U_g580,0,0
155,U_g1950,13,0
156,U_g756,0,0
157,U_g635,5,0
158,U_g1101,7,0
159,U_g549,30,0
160,U_g1041,3,0
161,U_g105,29,0
162,U_g1669,29,0
